category,run_name,model,setting,difficulty,task_count,ABQ,PASQ,UASQ,runtime,result_path,reformat_path,eval_path,reliability,presentation_tier,note
harness_result,harness_round2_rerender_qwen35b_medium,Qwen3.5-35B-A3B,harness fullfix raw + round2 rerender final-block,medium,87,91.95%,93.06%,93.42%,,evaluation/experimental_results/InfiAgent-Bench/results_harness_fullfix_qwen35b_medium_final.jsonl,evaluation/experimental_results/InfiAgent-Bench/reformat/results_reformat_harness_round2_rerender_qwen35b_medium.jsonl,evaluation/experimental_results/InfiAgent-Bench/eval_outputs/results_reformat_harness_round2_rerender_qwen35b_medium_evaluation_analysis.json,high,direct_report,raw 来自 fullfix harness；reformat/eval 使用 round2 rerender/final-block 版本；avg_branch_count=1.023; format_error=0; reformat_missing=0. 相对 qwen35b medium baseline 有提升。
harness_result,harness_round2_rerender_qwen35b_hard,Qwen3.5-35B-A3B,harness fullfix raw + round2 rerender final-block,hard,88,78.41%,84.75%,87.19%,,evaluation/experimental_results/InfiAgent-Bench/results_harness_fullfix_qwen35b_hard_final.jsonl,evaluation/experimental_results/InfiAgent-Bench/reformat/results_reformat_harness_round2_rerender_qwen35b_hard.jsonl,evaluation/experimental_results/InfiAgent-Bench/eval_outputs/results_reformat_harness_round2_rerender_qwen35b_hard_evaluation_analysis.json,high,direct_report,raw 来自 fullfix harness；reformat/eval 使用 round2 rerender/final-block 版本；avg_branch_count=2.9659; format_error=0; reformat_missing=0. 相对 qwen35b hard baseline 下降，主要作负例/风险说明。
memory_learning,harness_memory_r1_writeonly_qwen35b_full,Qwen3.5-35B-A3B,Round1 write-only,full,257,87.16%,88.93%,90.35%,68.0676,evaluation/experimental_results/InfiAgent-Bench/results_harness_memory_learning_r1_writeonly_qwen35b_full_20260602.jsonl,evaluation/experimental_results/InfiAgent-Bench/reformat/results_reformat_harness_memory_learning_r1_writeonly_qwen35b_full_20260602.jsonl,evaluation/experimental_results/InfiAgent-Bench/harness_memory_learning_r1_writeonly_qwen35b_full_20260602_summary.json,medium,internal_only,全量 memory-learning 链路可运行；format_error=4; reformat_missing=4; validator_failed=18; 平均每题约 68.0676s。收益很小/指标混合，不建议作为主结果。
memory_learning,harness_memory_r2_readmem_qwen35b_full,Qwen3.5-35B-A3B,Round2 read-memory,full,257,86.77%,88.60%,90.79%,64.4631,evaluation/experimental_results/InfiAgent-Bench/results_harness_memory_learning_r2_readmem_qwen35b_full_20260602.jsonl,evaluation/experimental_results/InfiAgent-Bench/reformat/results_reformat_harness_memory_learning_r2_readmem_qwen35b_full_20260602.jsonl,evaluation/experimental_results/InfiAgent-Bench/harness_memory_learning_r2_readmem_qwen35b_full_20260602_summary.json,medium,internal_only,全量 memory-learning 链路可运行；format_error=2; reformat_missing=2; validator_failed=11; 平均每题约 64.4631s。收益很小/指标混合，不建议作为主结果。
weak_small_set,weak_qwen35_flash_small_lightfix_baseline_raw,qwen3.5-flash,baseline_raw,small_error_set,47,0.00%,0.00%,0.00%,30.2419,evaluation/experimental_results/InfiAgent-Bench/results_weak-qwen35-flash-small-baseline-lightfix-20260609.jsonl,,evaluation/experimental_results/InfiAgent-Bench/weak_model_comparison/small-qwen35-flash-lightfix-20260609/metrics_summary.json,low,do_not_show,qwen3.5-flash small_error_set 47题 lightfix；status={'success': 47}; format_error=47; reformat_missing=47; verifier_blocked=0; stuck=0.
weak_small_set,weak_qwen35_flash_small_lightfix_baseline_reformat,qwen3.5-flash,baseline_reformat,small_error_set,47,48.94%,63.83%,67.05%,30.2419,evaluation/experimental_results/InfiAgent-Bench/results_weak-qwen35-flash-small-baseline-lightfix-20260609.jsonl,evaluation/experimental_results/InfiAgent-Bench/reformat/results_reformat_weak-qwen35-flash-small-baseline-lightfix-20260609.jsonl,evaluation/experimental_results/InfiAgent-Bench/weak_model_comparison/small-qwen35-flash-lightfix-20260609/metrics_summary.json,medium,cautious_report,qwen3.5-flash small_error_set 47题 lightfix；status={'success': 47}; format_error=0; reformat_missing=0; verifier_blocked=0; stuck=0.
weak_small_set,weak_qwen35_flash_small_lightfix_harness_light,qwen3.5-flash,harness_light,small_error_set,47,59.57%,65.25%,69.32%,47.0341,evaluation/experimental_results/InfiAgent-Bench/results_weak-qwen35-flash-small-harness-light-lightfix-20260609.jsonl,,evaluation/experimental_results/InfiAgent-Bench/weak_model_comparison/small-qwen35-flash-lightfix-20260609/metrics_summary.json,medium,cautious_report,"qwen3.5-flash small_error_set 47题 lightfix；status={'success': 44, 'reformat_missing': 2, 'execution_error': 1}; format_error=1; reformat_missing=3; verifier_blocked=0; stuck=1."
weak_small_set,weak_qwen35_flash_small_lightfix_harness_full,qwen3.5-flash,harness_full,small_error_set,47,63.83%,69.50%,72.73%,92.7897,evaluation/experimental_results/InfiAgent-Bench/results_weak-qwen35-flash-small-harness-full-lightfix-20260609.dedup.jsonl,,evaluation/experimental_results/InfiAgent-Bench/weak_model_comparison/small-qwen35-flash-lightfix-20260609/metrics_summary.json,medium,cautious_report,"qwen3.5-flash small_error_set 47题 lightfix；status={'success': 41, 'verifier_blocked': 4, 'reformat_missing': 1, 'execution_error': 1}; format_error=0; reformat_missing=2; verifier_blocked=4; stuck=1."
weak_small_set_superseded,weak_qwen35_flash_small_v2_baseline_raw,qwen3.5-flash,baseline_raw,small_error_set_partial,47,0.00%,0.00%,0.00%,30.2469,evaluation/experimental_results/InfiAgent-Bench/results_weak-qwen35-flash-small-baseline-v2-20260609.jsonl,,evaluation/experimental_results/InfiAgent-Bench/weak_model_comparison/small-qwen35-flash-20260609/small_metrics_summary.json,low,internal_only,"旧 small set 结果，已被 lightfix 47/47 完整版本覆盖；evaluated_count=44; task_status={'success': 44, 'execution_error': 3}. 与 lightfix baseline 指标冲突，不应混用。"
weak_small_set_superseded,weak_qwen35_flash_small_v2_baseline_original_reformat,qwen3.5-flash,baseline_original_reformat,small_error_set_partial,47,59.57%,69.86%,72.73%,30.2469,evaluation/experimental_results/InfiAgent-Bench/results_weak-qwen35-flash-small-baseline-v2-20260609.jsonl,evaluation/experimental_results/InfiAgent-Bench/reformat/results_reformat_weak-qwen35-flash-small-baseline-v2-20260609.jsonl,evaluation/experimental_results/InfiAgent-Bench/weak_model_comparison/small-qwen35-flash-20260609/small_metrics_summary.json,low,internal_only,"旧 small set 结果，已被 lightfix 47/47 完整版本覆盖；evaluated_count=47; task_status={'success': 44, 'execution_error': 3}. 与 lightfix baseline 指标冲突，不应混用。"
weak_small_set_superseded,weak_qwen35_flash_small_v2_harness_full_final_block,qwen3.5-flash,harness_full_final_block,small_error_set_partial,46,60.87%,68.12%,72.94%,103.604,evaluation/experimental_results/InfiAgent-Bench/results_weak-qwen35-flash-small-harness-full-20260609.jsonl,,evaluation/experimental_results/InfiAgent-Bench/weak_model_comparison/small-qwen35-flash-20260609/small_metrics_summary.json,low,internal_only,"旧 small set 结果，已被 lightfix 47/47 完整版本覆盖；evaluated_count=46; task_status={'success': 39, 'verifier_blocked': 4, 'execution_error': 2, 'reformat_missing': 1}. 与 lightfix baseline 指标冲突，不应混用。"
resource_cost,resource_qwen3_32b_full_baseline,Qwen3-32B,resource baseline observed,full,257,81.74%,86.21%,86.43%,,,,docs/analysis_report/InfiAgentBench_Cost_Reduction_Plan.md,medium,cautious_report,observed/reference in cost plan; equivalent token 5.961M; eval file also exists as results_reformat_qwen32b_full_latest_evaluation_analysis.json but matching raw/reformat full path was not found.
resource_cost_expected,resource_model_routing_expected,mixed 32B/14B/8B,model routing only expected,full,257,80.5%-82.5%,,,,,,docs/analysis_report/InfiAgentBench_Cost_Reduction_Plan.md,low,cautious_report_as_plan,expected/target only; equivalent token about 2.120M; not an observed result.
resource_cost_expected,resource_routing_conversation_reduction_expected,mixed 32B/14B/8B + deterministic,model routing + conversation reduction expected,full,257,81.0%-83.5%,,,,,,docs/analysis_report/InfiAgentBench_Cost_Reduction_Plan.md,low,cautious_report_as_plan,expected/target only; equivalent token about 1.05M-1.60M; not an observed result.
missing_eval,results_datawise-Qwen2.5-14B-Instruct-temperature-0-args-7-6-8,datawise-Qwen2.5-14B-Instruct-temperature-0-args-7-6-8,reformat only / missing_eval,full,257,,,,,,evaluation/experimental_results/InfiAgent-Bench/reformat/results_datawise-Qwen2.5-14B-Instruct-temperature-0-args-7-6-8.jsonl,,low,do_not_show,Found reformat jsonl but no matching eval_outputs JSON in requested locations; do not present as result.
missing_eval,results_datawise-Qwen2.5-7B-Instruct-temperature-0-args-7-6-8,datawise-Qwen2.5-7B-Instruct-temperature-0-args-7-6-8,reformat only / missing_eval,full,257,,,,,,evaluation/experimental_results/InfiAgent-Bench/reformat/results_datawise-Qwen2.5-7B-Instruct-temperature-0-args-7-6-8.jsonl,,low,do_not_show,Found reformat jsonl but no matching eval_outputs JSON in requested locations; do not present as result.
missing_eval,results_reformat_datawise-gpt-4o-temperature-0-args-7-6-8,datawise-gpt-4o-temperature-0-args-7-6-8,reformat only / missing_eval,full,257,,,,,,evaluation/experimental_results/InfiAgent-Bench/reformat/results_reformat_datawise-gpt-4o-temperature-0-args-7-6-8.jsonl,,low,do_not_show,Found reformat jsonl but no matching eval_outputs JSON in requested locations; do not present as result.
missing_eval,results_reformat_datawise-qwen25-70B-temperature-0-args-7-6-8,datawise-qwen25-70B-temperature-0-args-7-6-8,reformat only / missing_eval,full,257,,,,,,evaluation/experimental_results/InfiAgent-Bench/reformat/results_reformat_datawise-qwen25-70B-temperature-0-args-7-6-8.jsonl,,low,do_not_show,Found reformat jsonl but no matching eval_outputs JSON in requested locations; do not present as result.
