textID,text,selected_text,sentiment
956c294ddf, boo! I must`ve deleted it from my phone!  can`t find it in my emails either!,can`t find it in my emails either!,negative
9d564870dd," 'A hike in the woods with four little kids couldn`t be that exhausting, right? Wrong.'  LOL.. Try downright masochistic!","'A hike in the woods with four little kids couldn`t be that exhausting, right? Wrong.'  LOL.. Try downright masochistic!",neutral
5a24150845,wtf?! my tweets aren`t posting   super excited about the weekend! <3jfg.,aren`t posting   super excited,negative
5ead1b613e, not for long goin for some sprints now,not for long goin for some sprints now,neutral
02f0c7077c,Happy Mother`s Day! I love my mommy,Happy,positive
03e41e477a,oh how I miss my truck... I could have my whole place moved by now...,I miss,negative
d30dd55d4e,does anyone know where I can watch the prison break tv movie? It`s not on itunes,does anyone know where I can watch the prison break tv movie? It`s not on itunes,neutral
9b70036610,tired as hell!!!! bed time from cara  nighty night twitter world..,tired as hell!!!! be,negative
a624886d7b,"When life, as you know it, doesn`t exist anymore.",doesn`t exist anymore.,negative
87b8bcb650,"i got a haircut, i felt like that guy on the 'Last Samuri' who was forced to have his ponytail cut off.",forced to,negative
e1ed43bebe,"_2008 Well, having to revise them!  Was to do some more gardening, now, I guess hoovering and some warcraft  Not played in a week !","2008 Well, having to revise them!  Was to do some more gardening, now, I guess hoovering and some warcraft  Not played in a week",neutral
02f750f49c, Yeah. About **** time. My film SLR just sits there quietly being ignored. It`s time to step up!,ignored.,negative
ee8acd3de2, awww i`m sorry  what kind of fish did you have?,awww i`m sorry  what kind of fish did you have?,negative
e74a24c3a1, ouch  does picking your nose count?,ouch,negative
f64f1a4d4b, fey slays it in #30rock but title of that film sounds bad  #Inbruges is a funny indie little euro city hitman gone bad tale!,fey slays it in #30rock but title of that film sounds bad  #Inbruges is a funny indie little euro city hitman gone bad tale!,neutral
b909528ab1,: Out to dinner for the fam and Grandma for Mother`s Day.,: Out to dinner for the fam and Grandma for Mother`s Day.,neutral
7adc7ea809, http://twitpic.com/4bckp - that should answer part of your question,http://twitpic.com/4bckp - that should answer part of your question,neutral
c0ea6aed71,Stuck in awful traffic in the way to the wedding. Ceremony is supposed to start now. Ughhh.,Stuck in awful traffic in the way to the wedding.,negative
3d8fc11374,Watching Scrubs season 2. Oh I`m gonna miss that show,miss,negative
0cbb3a6d26,Its summer and no one has texted/called me. Im a loner,loner,negative
12ed0a4896,Getting bored sitting at the hotel room the entire day,bored,negative
e1546f901a,FTSK and Mercy Mercedes were amazing tonight.. as always,were amazing tonight..,positive
a8361317b3, i think it starts at  7.30 with that david archuleta  i might just throw glitter all over myself aha ****,i think it starts at  7.30 with that david archuleta  i might just throw glitter all over myself aha,neutral
20251532a7,: I`m real,: I`m real,neutral
9e44318306,"I missed you yesterday, Lacey.    We get to go to granulation tonight, though.","I missed you yesterday, Lacey.    We get to go to granulation tonight, though",negative
f39e7fa3ec, Me and Wendy are going after all.  Wish you were!!!,Wish you were!!!,negative
5467d2a10e,Harley Quinn cstm  hehehehe  not going to the prom buaa,Harley Quinn cstm  hehehehe  not going to the prom buaa,neutral
d47c7a9d6f, i hate it. it should just be english all day everyday,i hate it.,negative
af36799256, then you must insist you write essays the twitter way - no more than 140 characters,then you must insist you write essays the twitter way - no more than 140 characters,neutral
0c179f1308,   your picture makes me thristy EVERYDAY!,your picture makes me thristy EVERYDAY!,neutral
f5dd26cb38, omfg I have been DOWNING them they are so tasty. I ate almost all of them with Lo,tasty.,positive
d90d309eb2," That`s the problem. The earphones I get here don`t last more than 2 months, no matter what brand or price.",That`s the problem.,negative
c7a7e81bb9,WELL i do not think i am getting a call anytime soon. PAINTING MY NAILS!,WELL i do not think i am getting a call anytime soon. PAINTING MY NAILS!,neutral
bd3145be68,Oh dear. Sunburned back,Sunburned,negative
4925e8101d,"If someone have a friendster profy!,.just add me!,.ayt!?,.lol!,.http://bit.ly/UsPlN !","If someone have a friendster profy!,.just add me!,.ayt!?,.lol!,.http://bit.ly/UsPlN !",neutral
3b3789207f,"I think Tania is too cute, too nice  I love her! <3",too nice  I love her!,positive
976eeaa10a,  tell me about it,tell me about it,neutral
ec515add19, You live dat glamorous life.,glamorous,positive
24f443230e,people with mustaches get super powers and mustaches. no fair.,no fair.,negative
a4ca62632d,Awesome night ahead: BAD v Rat City! Most of my favorite skaters on one track  #fb,Awesome,positive
576bd9b340,Rough start to my day.  Taking this one off from DON so as not to spread my bad vibes. Hope you all have a great weekend! I`m outty.,Rough start to my day.  Taking this one off from DON so as not to spread my bad vibes. Hope you all have a great weekend! I`m outty.,neutral
64ed512788,Sick. With a flu like thing.,Sick.,negative
83bd9bb81b,OH NO! MY FAN BROKE  NOOOOOOOOOOOO! great now i have to swelter in the heat. i like heat-ish but it hot! my laptop warm as well.,NOOOOOOOOOOOO!,negative
fe4d193de2,I need to buy a cheap verizon phone,I need to buy a cheap verizon phone,neutral
1bc4dabe71," aw no!  yeah I must say, it was very good haha","aw no!  yeah I must say, it was very good haha",neutral
ebae5c5c42,"Happy Mother`s Day to all mothers out there!  I am not one myself, but I have been called something along those lines",Happy,positive
7e166ca11d,_Ferman that`s so weak!!  facebook fail,weak!!,negative
c2986901c5," I`m thinking of a dawn shot of Carlingford Lough, the sun will be in the right place this time of year. involves an early rise tho","I`m thinking of a dawn shot of Carlingford Lough, the sun will be in the right place this time of year. involves an early rise tho",neutral
7fd422900b, I GET IT.  YOU ESPLAINED IT TO ME AWHILE AGO.,I GET IT.,negative
7c9c154e93,am little bit upset   ppl is jerk-,am little bit upset,negative
27af3032f1, Yes I do! And I`m still almost at my Gmail storage ceiling! ARGH! I am being FORCED to delete stuff.... or buy more space.,FORCED,negative
3abe2b51bb,*PEN JAM CLEARED* CLICK!,*PEN JAM CLEARED* CLICK!,neutral
18187b9824,   I`ve always been a ppl person just hid behind bad self confidence for 2 long  u can do anything!,I`ve always been a ppl person just hid behind bad self confidence for 2 long  u can do anything,neutral
7e9dc861a0,I am off to bed now....my family has a wonderful day planned for me today      Happy Mother`s Day,a wonderful day planned for me,positive
c70a22b761, how come u all don`t seem to excited to play in DC????,u all don`t seem to excited,negative
cad70bf44a, Poor you   If I was with you right now; I would probably give you a hug ;D,Poor you   If I was with you right now; I would probably give you a hug,neutral
0591381367,"Just finished The Village. So in love,could watch it over and over! Wonder why I can`t get to sleep tonight","love,c",positive
7d3f899337,back from lunch and it`s pouring rain! ugh  ohh well at least it gets me into a Death Cab For Cutie mood!,Cutie,positive
43720cae34, physics  the most boring class ever!,t boring,negative
1e4465ac6e," ur taking tease lessons from the guys! No fair   LOL, oh well, we`ll wait as patiently as we can!","ur taking tease lessons from the guys! No fair   LOL, oh well, we`ll wait as patiently as we can",neutral
5cd126552e," Oh, that`s bad. I made that mistake once before but still managed to pass though. So maybe it isn`t as bad as he thinks?",bad.,negative
812c63bc33, loved you in head over heels! One of my fave movies! you looked stunning last night,loved you,positive
3ade80fe74,"may gray, coldplay, and nice showers...work at 2",nice showers...,positive
5cda360fea,  but they`re hungryyyyyy,but they`re hungryyyyyy,neutral
dcd3550bdc,Getting one of the lil GEM`s ears REpierced after work today- definitely dreading it,dreading,negative
c7e58ae69b," - Wow, I didn`t realise you were Hami. lol. Thanks for all the comments on my blog, dude",Thanks for all the comments,positive
11370b4eed,its my birthday.....happy birthday to me!!!!,happy birthday to me!!!!,positive
8698d535f2,  youstinkatrespondingtotexts!,youstinkatrespondingtotexts!,negative
6be43fd6de,watching neighbourss.,watching neighbourss.,neutral
df1bbb62f8," im sure he will  and if its not today, maybe it will be tomorrow..","im sure he will  and if its not today, maybe it will be tomorrow..",neutral
4688288163,....yup stil at work,....yup stil at work,neutral
e8f99c2de0, pancakes!! with lemon and sugar thanks!,thanks!,positive
d75b9c1f77, just relax like it is or translated to swedish too? Just got to take a look at my next comment,just relax like it is or translated to swedish too? Just got to take a look at my next comment,positive
1c6bd2b82f, loadsa shizze has happend  IM SO UPSET..,loadsa shizze has happend  IM SO UPSET..,negative
265b079af3,"can`t find my trusty hair tie  My hair will spill all over the place when I run!Mom`s bands doesn`t work for me,normal ones hurt.(((",hurt.,negative
acf42aaa67, boo...I thought being on the list meant it would be good to go  looks like i`ll have to get a CF adapter for my dslr!,boo.,negative
41396db3db,Show 147 in pre-pre production ....... a bit behind,a bit behind,negative
5d3ba9ced7,I don`t like when my g1 changes.    I feel like google should send me an email and tell me all the things they`re gunna do to my phone.,don`t like,negative
67f2f85bf1,i am going to be disgraced with myself for life if i don`t make it in next year. being a perfectionist sucks. good luckkkk,i am going to be disgraced with myself for life if i don`t make it in next year. being a perfectionist sucks. good luckkkk,negative
31fa81e0ae,"  Yes, you should go see Star Trek!  It`s sooooo much fun!",ch fu,positive
55ea867fb6,I REALLY wish I was spoiled!,I REALLY wish I was spoiled!,negative
702963ec1f, Really worth watching at the cinema.  Mum really enjoyed it,Really worth watching at the cinema.  Mum really enjoyed,positive
3ef6d3466c," haha well i was at my friend`s party, but then i realized i forgot my stepmom`s bday, so i had to come home to call her!","haha well i was at my friend`s party, but then i realized i forgot my stepmom`s bday, so i had to come home to call her!",neutral
8d548e722c,sooo reluctant to study for finals right now.... but i have to,sooo reluctant to study for finals right now.... but i have to,neutral
b51e5744a9,"nothing much on tv, seen most of the good stuff...think i`ll go to bed soon, but it`s too hot to sleep","nothing much on tv, seen most of the good stuff...think i`ll go to bed soon, but it`s too hot to sleep",neutral
30019d7183,going to second morning of the day... just sleeping for 3-4 hours,going to second morning of the day... just sleeping for 3-4 hours,neutral
50897d80de,May the 4th be with you. Happy Star Wars Day!  http://ow.ly/52Aw,Happy Star Wars,positive
e016640155,Update 100,Update 100,neutral
7994a5c310,At nosely safari park with Leah,At nosely safari park with Leah,neutral
7543436cad,"finished sewing for the night, uploading pictures from slidebar and beach. i cant believe i am having difficulties with twitter!",i cant believe i am having difficulties with twitter!,negative
0b5159faf0,"FML.. today sucks.. i just hope the dance will bring my soul up.. i pray, but im still sad..i hateee todayyyyyy!!! >;(","FML.. today sucks.. i just hope the dance will bring my soul up.. i pray, but im still sad..i hateee todayyyyyy!!! >;(",negative
ee5696f28f," yippee, darling girls. Love you sooooo much  and so thrilled you found each other!",o thrilled,positive
43fc60ce13,would like a hug and a kiss from Eric. Long distances really really stink,really stink,negative
72d7a1dafb,"battery is low boooooooo in Palm Springs, CA http://loopt.us/2SljBw.t",low,negative
582090d484, This was funny! I have 7.,funny!,positive
47c5a5fa73,hope`s she see her bestie today,hope`s,positive
e0d6ad07fc,"Im regretting the alcohol I consumed last night, MY HEAD",regretting,negative
bb51d30a08,Finally off work...long night.  Hangin with ,Finally off work...long night.  Hangin with,neutral
63d91c25a2, - mostley yellow and green,- mostley yellow and green,neutral
8bd57afa85," Couldn`t see one, but I`m probably blind  Do you have a link to it?","Couldn`t see one, but I`m probably blind",negative
2b2c1388e6,hee hallo ,hee hallo,neutral
ae6b58f5a4,_erincharde yea as an afterthought,_erincharde yea as an afterthought,neutral
bb3f346df1,im quite upset do I really look under 15 :| they must have thought i was 14 or something ! Whatt ! thats unfair,upset,negative
b1219686d6,Why am I so tired?????? Whyyyyy make it stop. Merm is not going to be fun tonight.,not going to be fun,negative
aea731ccd1, Wahey! Fancy meeting you here  Thanks for the tweet and great to be twittered together,d great,positive
4234ca4536,Lookin` at spreadsheets so long my eyes are crossing...,my eyes are crossing...,negative
49e632c4e1,Looks like it`s going to be a upset for Venus,upset,negative
cfbdec51c4,time to go swimming in the freezing water at kalies. yeah!,yeah!,positive
e788c7663b,is going to help lancey cook,help,positive
82cfcadf20,"Tomorrow afternoon (well, later today actually) is a shoot with Seattle Sinner Newspaper and Femme Fatale Seattle photographers","Tomorrow afternoon (well, later today actually) is a shoot with Seattle Sinner Newspaper and Femme Fatale Seattle photographers",neutral
f7927504e9," Oh Jordan! Iï¿½m ready for the next contest, baby!!!! Canï¿½t wait! Kisses from Brazil. I love you!",. I love you!,positive
82b1b58932,"..the weather may makes it, cause temp fell down to 15C from 30C which were yesterday  ...","..the weather may makes it, cause temp fell down to 15C from 30C which were yesterday  ...",neutral
d359822de4, - Woo! Great subject for this month. Now I can use my sparklers,Great,positive
67372406de,Wishes  a Happy Mother`s Day!,Happy,positive
c344f48de3,"() OMG SHUT UP!!! (sorry. still venting at that person who`s annoying me. It`s none of you, I swear  )",sorry.,negative
7968cfa23c," Let`s hope and pray, we go a wiser way! :  Let`s hope and pray, we go a wiser way!  http://bit.ly/TzxqN",s hope,positive
e7b6c1e291,"Morning twitties! Heading to college, just back from the docs, god I`m hungry  streching my ears again today! 10mm ;) payday I love you!",payday I love you!,positive
10a45dccab,1 month 3 wks till the big day!   ~CSH,1 month 3 wks till the big day!   ~CSH,neutral
95a9f1cccc,Now i`m fully awake,Now i`m fully awake,neutral
5d1cbfc296, quite all right. **** sounds better than clock coming from a female anyway,quite all right.,positive
3456a32027, Exactly! Silent treatment is a great torture method,Silent treatment is a great torture method,negative
f1c20600a1,"Good morning tweeps! Monday got here way too soon! Hope you are having a good one, at least as good as it can get for a Monday",Good morning tweeps!,positive
a5f4c19969,Noooooo worst news ever today my tattoo artist is moving omg what am I going to do!?!?!?!?,Noooooo worst news,negative
55b3fcc26b,"I have drunk hickups. I had a pretty laid back, great night. But I still can`t help but be mad about the situation I put myself in","I have drunk hickups. I had a pretty laid back, great night. But I still can`t help but be mad about the situation I put myself in",neutral
094218c2e7,in about half a hour i`m going to my english lesson...guess i`ll have to wait...and wait for a couple hours so i`m over with it.(( :S   )),i`ll have to wait..,negative
e0bd0744d5,Just saw a dark burgundy Scion xB. That dark shade makes it look like a minivan because the shawdows of the lines and curves are lost.,lost.,negative
38ddd0661d,() 1-Pendulum = awesome! 2-Goodbyes suck  3-Shut up plz. 4-Toy Story 3!!  5-JB 3D MOVIE 2MORO! 6-I`m tired. 7-Aaaand I`m out.,() 1-Pendulum = awesome! 2-Goodbyes suck  3-Shut up plz. 4-Toy Story 3!!  5-JB 3D MOVIE 2MORO! 6-I`m tired. 7-Aaaand I`m out.,neutral
65ec4f3b32," lol ik they are, but i figure i`ve kept it for a year+ without needing virus software or to get it fixed  sigh","lol ik they are, but i figure i`ve kept it for a year+ without needing virus software or to get it fixed  sigh",neutral
042b4f8784, blimey! You`re still suffering?!!,blimey!,negative
f98930b9f0,Miss the newest version on Glade on Debian..,Miss the newest version on Glade on Debian..,negative
7a8a122cd9,is going to work an amazing charity event for big brothers big sisters. i don`t mind working if its for a good cause,amazing,positive
51f143ac9d,Leaving for Atlanta in the morning to catch JoCo and Pa & St!!! I`m excited! Missed P&S at D*Con last year.  That made me a sad owl.,I`m excited! Missed P&S at D*Con last year.  That made me a sad owl.,neutral
823dd30627, gonna go home and TRY to take a nap. I am emotionally exhausted   ... I will be in after.. <3,emotionally exhausted,negative
0897770e1d," Thanks, Enjoy your dinner tomorrow","Thanks,",positive
21fe7492e2,trying to get a sale in my job...,trying to get a sale in my job...,neutral
cb5dafd9cf, so seriously...I need a date to a wedding. Really dont wanna go alone. Its May 23rd...any chance?,dont wanna go alone.,negative
9114e3fecc," Would *you* pay $60K for a lunch with Oscar de la Renta?  I don`t see her hitting East Village shops, do you?","Would *you* pay $60K for a lunch with Oscar de la Renta?  I don`t see her hitting East Village shops, do you?",neutral
ef99cbb940," OH WAIT, I read that wrong. OK hellboy","OH WAIT, I read that wrong. OK hellboy",neutral
4c270117ac,about to book train tickets for friday!,about to book train tickets for friday!,neutral
9bb3de975c,"PINKPOP weekend & I`ve got NO tickets, meaning no BRUCE Springsteen  Oh well, it`s WWWWWEEEEEEEEEEEEEEEKKKKKEEEENNNNDDDD!!!!!","NO tickets,",negative
353ec7e3af,finishing washing dishes,finishing washing dishes,neutral
b6a29728d8, haha we had balcony seats  not that great. there`s a giant dragon thing that has glowing red eyes and moves its wings!,not that great.,negative
72c78eb765,"just got out of prom, it was fun  off too after prom text me",it was fun  off too,positive
b57e3fc473,Off to the gym by myself!  no fun!,no fun!,negative
3d72bd6c6a," i hope so, recorded the pit/was game to find out it didnt record... lucky it wasn`t the leafs, i woulda lost it by now",lost,negative
d3f0c48744,still page one on Google   still cant quite believe it   not spent a cent to get to page One..... Wow what next...Mmmmmm,still page one on Google   still cant quite believe it   not spent a cent to get to page One..... Wow what next...Mmmm,neutral
a58daaab6b,Did not win Kelly Clarkson Tickets. Sorry Cecilia. Really wish I could give that to you! You so much deserve it.,Sorry Cecilia.,negative
3371083271,IDIOTat)tux11 That`s cool.  Th*nks for the follow.   (techyuppie) #IDIOT,That`s cool.  Th*nks for the follow.,positive
1307cc3ab9,Ok so I did shed a few tears watching the preview for next weeks Medium. I`m so scared. I`m so addicted to this show. I love it,. I`m so scared. I`m so addicted to this show. I love it,neutral
d27e0ab61d,"Welcoming new #followers: , ,   ,  & . Thanks for the love. Tweet on!",& . Thanks for the lov,positive
b7704c849c,"I left a chocolate egg sitting in my office, and now it`s calling my name......................","I left a chocolate egg sitting in my office, and now it`s calling my name..",neutral
22e89de314,I want some Starbucks..,I want some Starbucks..,neutral
2e21b2daea,"Well, enough mushy family talk. To bed I stubbornly go.",enough mushy family talk.,negative
f5446d3186,"_Twitster ohhhh, I love Morse, have every episode on video & sometimes gaze lovingly at them",lovingly,positive
6f4f24aac8, Thank you  and hope you are having a great day,Thank you  and hope you are having a great day,positive
c161fc4464,at school. Rusty just put Oh It Is Love on my ipod. awh,awh,positive
5c6a2cd221,  Hi Jenna. Hope all is well   Just thinking of you and wishing you the best! Lots of love from over here in New York!!!,. Hope all is well   Just thinking of you and wishing you the best! Lots of love from over here in New York,positive
eaf0dc067f,"is sipping OJ in the sun in San Pedro at La Soberana again, with sunny smiley Nita...  The garlic tomato paste is delicious! Yummy!!!",Yummy!!!,positive
184784f005,yey finally home,yey finally home,neutral
773f3ebea4,"Nice place to eat in sao paulo, brazil  http://twitgoo.com/28hh",Nice place,positive
23ed699f1c," Oooh, neat!  Yes, SF has such good food.  Again, so jealous of all you SF people.","Oooh, neat!  Yes, SF has such good food.  Again, so jealous of all you SF people.",neutral
bd69aed8f7,"Bored and kinda lonely, my parents went up to the lake. I didn`t have a friend to bring up so i knew i was bored and didn`t go.","Bored and kinda lonely, my parents went up to the lake. I didn`t have a friend to bring up so i knew i was bored and didn`t go.",neutral
d265b4b26c, aww... my mom will appreciate it   Much the same to your familias! When do you leave for tour?,appreciate,positive
d09b53130b,sad day*Lakers please make me happy with a W,sad day*L,negative
e39ad1bb34," http://twitpic.com/2uzx4 - haha, his heads bigger than yours! awwwh, lol","- haha, his heads bigger than yours! awwwh, lol",positive
032c6749a4,Then me disliking you is a rumor!  cyndi! What made it look like i didn`t like you?,disliking,negative
699c07b35c, ****. it should be recoverable. it`s just the boot part that`s messed up. grr argh. my business was on there.,. it should be recoverable.,negative
7cd3a2f5e5,Going to Houston and Nola this weekend with . Who wants to join us?,Going to Houston and Nola this weekend with . Who wants to join us?,neutral
35f7c86281,My whole body back pain treatment and detox starts Monday. Not looking forward to a summer of hot yoga and healthy food.,My whole body back pain treatment and detox starts Monday. Not looking forward to a summer of hot yoga and healthy food.,neutral
a18bb0751a,gooooood morning,gooooood morning,positive
15b87a49f3,_uts bass love,love,positive
c6790802d8,Surf`s up this week - starting this afternoon,Surf`s up this week - starting this afternoon,neutral
a23f97102f, I`ve been readin your last few twitts. I hope your ok,hope,positive
16bd49d152,wants TFA back.  http://plurk.com/p/x2rgl,wants TFA back.  http://plurk.com/p/x2rgl,neutral
bdd76e0181,feelin nice after this bottle of bacardi,feelin nice af,positive
3934798d50,_Smith glad the zoo was fun and you had a great mothers day hun,glad,positive
3c39aa2a41, why is it your last EVER uk tour  ?? x,why is it your last EVER uk tour  ?? x,neutral
7fa3e5eb1a, hi Add me.  it`s shannen,hi Add me.  it`s shannen,neutral
b4c98aaeb1,  cool its my P,cool its my P,neutral
657e005fc3,", Decaf? I can do some teas late but never coffee- Id fly around the room. Justin Timberlake hosted. FUNNY sketch w/ Samberg",FUNNY,positive
bdfa9ab437, How dare you apologize to the UK for being gone for a while but don`t apologize to america for never touring here at all!!!,How dare you apologize to the UK for being gone for a while but don`t apologize to america for never touring here at all!!!,neutral
dfe69f5bfa,Time to take a astronomy test!,Time to take a astronomy test!,neutral
bac9c135f6,ummmm i have no idea what im doing but my friend is pissed off at me now and i dont know why she hates me so much I NEED HELP BRITNEY plz,pissed off,negative
42c9d2b9b7,Ugh what an amazing night. Time for bed! I know i`m gonna sleep well. And with no getting up early!  good night!,amazing,positive
b7f5f60087, good morning hun! i loved the movie what happens in vegas~ it is such a good movie,good morning hun!,positive
4989c9368b, right.,right.,neutral
9736b31d4c, lmao yeaa iight n u shuld put tha c.b flick up w. **** on ur head .. juss a joke,joke,positive
5238b26d73, Oh noooooo!!!      I`m so sorry!!  That sucks hard!,That,negative
0d46954e4d,WHY DO I EVEN TRY... WHEN DEEP DOWN INSIDE I KNO THERE PAIN ON THE OTHER SIDE,WHY DO I EVEN TRY... WHEN DEEP DOWN INSIDE I KNO THERE PAIN ON THE OTHER SIDE,negative
f702a8f65f,"Hell, my iTunes music library is even bipolar!",iTunes music library is even bipolar!,negative
8e2855ef79,farrrrr . pdhpe assignment due next week and have english homework !,farrrrr . pdhpe assignment due next week and have english homework !,neutral
b8f35742f2," hey, no we were second, kind sad, but it`s ok   guitar, guitar, guitar  BBQ and good time  what about you>?","hey, no we were second, kind sad, but it`s ok   guitar, guitar, guitar  BBQ and good time  what about you",neutral
f2e59ef473," I have been subtly replacing it with 'penetration testing' when I see it, but nobody`s caught on yet.","I have been subtly replacing it with 'penetration testing' when I see it, but nobody`s caught on yet.",neutral
bd85c138d5,"Yaaaaaaay, bday!","Yaaaaaaay,",positive
5b747a13f6,Shopped til i dropped....come bac sunshine i miss u,Shopped til i dropped....come bac sunshine i miss u,negative
454829e8ff,Running errands with my little man. Maybe he won`t act like a 3 year old today.,Running errands with my little man. Maybe he won`t act like a 3 year old today.,neutral
5e7570e321, Will arrive tomorrow morning at 7  #early,Will arrive tomorrow morning at 7  #early,neutral
15fa1bb24d, good to know PLN`s Earthday doesn`t only happen in my neck of the woods,good to know,positive
2b8089a5ed, 72-65 Cavs! The score is and was! LOL,72-65 Cavs! The score is and was! LOL,neutral
2d2b117213, WTF!!!!  LMAO!!! *Just got hit in the head with bloody balls*,WTF!,negative
8d7f102cba,Panera is not being nice to my iPhone,not being nice,negative
1471fb17c6,hi to all twit friends  happy mother`s day to all the beautiful and amazing mothers out there,happy mother`s day to all the beautiful and amazing mothers,positive
e3b7b4a3c8,"Sick. Feel like jello, can`t talk, and delirious.","Sick. Feel like jello, can`t talk, and delirious.",negative
82a6805fb2, am alive   but at work   finish at 1300   sun is out,am alive   but at work   finish at 1300   sun,neutral
1c6c2383c1,"If you wanna read something, I recommend  http://estrella05azul.wordpress.com/","If you wanna read something, I recommend  http://estrella05azul.wordpress.com/",neutral
b1f6dde209, nice have fun....Although you cant not have fun lol,nice have fun....Although you cant not have fun lol,neutral
bfb1640001, Please bring  to your show,Please bring  to your show,neutral
58c0fd11e3,"Happy Friday Dance, no rain and I`m about outta here..till 2morrow  I sat the saturday morning shift, but its still all good",Happy,positive
7f5116e5a1,", totally worth it!! great movie cool 3D glasses! i miss ya! and i miss   and i miss new york too",i miss ya!,negative
58c50a1df5,Tryin to figure out how to direct message and is gettin frustrated,frustrated,negative
900f178ec3,"In a lazy sunday; just had a very late lunch,and forget to buy PR,we`re on page 16","In a lazy sunday; just had a very late lunch,and forget to buy PR,we`re on page 16",neutral
c3eea4388d, It is a drink but they have a trainer brand too.. http://www.office.co.uk/brand/babycham/8 <<have a look,It is a drink but they have a trainer brand too.. http://www.office.co.uk/brand/babycham/8 <<have a look,neutral
117128077a,Brittany moved,Brittany moved,neutral
a60c4c4c6c,Checkin out oramarecords.com. Got a fever and cnt sleep,Got a fever and cnt sleep,negative
65a8877905, are you guys dead again?  I can`t load it up,I can`t load it up,negative
0d015a8c77,PrinceCharming,PrinceCharming,neutral
229919563a,Starting out  bday bash with a Blue Moon  - Photo: http://bkite.com/07k6X,Starting out  bday bash with a Blue Moon  -,neutral
26167f5456,"its friday!  well, technically anyway...but its really thursday for me.  dang having to work saturday mornings",dang having to work saturday mornings,negative
5065b0ad1b,Omg! Star Wars Day!  May the fourth be with you everyone  This calls for me to watch at least 1 film tonight.,May the fourth be with you,positive
806f3b3df4, Check this video out -- ScriptGirl Report 05.08.09 http://bit.ly/hclXP ... I can officially now survive the weekend,I can officially now survive the weekend,neutral
cbbb741406,"Wishing I could go with  to SoCo to go climb, instead I`m stuck at work all weekend",stuck,negative
715a6a8caa,relaxing night at home with best people,relaxing night at home with best people,positive
fc2e634d1a,I`ve got to catch the bus to work,I`ve got to catch the bus to work,neutral
5d56612b5e,is incredibly worried about Stanley...,is incredibly worried about Stanley...,negative
aa1ae6ce1d," Hello, yourself. Enjoy London. Watch out for the Hackneys. They`re mental.",They`re mental.,negative
57a18c1134,"http://tinyurl.com/c4z6gn Wow.. Wow.. hope, i too get that sort of Guts in near future","Wow.. hope,",positive
